dataset,feature_set,method,k_per_class,seed,macro_f1,n_train,n_test
so2sat,pca8,SRQFM-fid,2,3,0.1517521747758301,34,1766
so2sat,pca8,RBF-SVM,2,3,0.14497046547268547,34,1766
so2sat,pca8,RandomForest,2,3,0.15643579166397142,34,1766
so2sat,pca8,SG-BSCM,2,4,0.09850428642512325,34,1766
so2sat,pca8,BSCM-uniform,2,4,0.09826947592833951,34,1766
so2sat,pca8,SRQFM-fid,2,4,0.0884394845044154,34,1766
so2sat,pca8,RBF-SVM,2,4,0.10736161728302991,34,1766
so2sat,pca8,RandomForest,2,4,0.13197073944429658,34,1766
so2sat,pca8,SG-BSCM,2,5,0.11112204593524966,34,1766
so2sat,pca8,BSCM-uniform,2,5,0.12122335679601386,34,1766
so2sat,pca8,SRQFM-fid,2,5,0.11886822501836844,34,1766
so2sat,pca8,RBF-SVM,2,5,0.11451627547565628,34,1766
so2sat,pca8,RandomForest,2,5,0.12574499969978145,34,1766
so2sat,pca8,SG-BSCM,2,6,0.11937767908581573,34,1766
so2sat,pca8,BSCM-uniform,2,6,0.12415250366096242,34,1766
so2sat,pca8,SRQFM-fid,2,6,0.11636409932265768,34,1766
so2sat,pca8,RBF-SVM,2,6,0.11733161435763695,34,1766
so2sat,pca8,RandomForest,2,6,0.11874680664648057,34,1766
so2sat,pca8,SG-BSCM,2,7,0.16639365921059435,34,1766
so2sat,pca8,BSCM-uniform,2,7,0.1637071140726572,34,1766
so2sat,pca8,SRQFM-fid,2,7,0.1727694123940222,34,1766
so2sat,pca8,RBF-SVM,2,7,0.15955465811348524,34,1766
so2sat,pca8,RandomForest,2,7,0.1738896127258852,34,1766
so2sat,pca8,SG-BSCM,2,8,0.11002231061170464,34,1766
so2sat,pca8,BSCM-uniform,2,8,0.10762753919759488,34,1766
so2sat,pca8,SRQFM-fid,2,8,0.10941155126929475,34,1766
so2sat,pca8,RBF-SVM,2,8,0.11676259813078414,34,1766
so2sat,pca8,RandomForest,2,8,0.1448680815223006,34,1766
so2sat,pca8,SG-BSCM,2,9,0.11634880296597128,34,1766
so2sat,pca8,BSCM-uniform,2,9,0.11113284677660354,34,1766
so2sat,pca8,SRQFM-fid,2,9,0.11305699694258817,34,1766
so2sat,pca8,RBF-SVM,2,9,0.1118077752602239,34,1766
so2sat,pca8,RandomForest,2,9,0.162430020863777,34,1766
so2sat,pca8,SG-BSCM,2,10,0.15501269929757175,34,1766
so2sat,pca8,BSCM-uniform,2,10,0.15488499338255546,34,1766
so2sat,pca8,SRQFM-fid,2,10,0.1489800917416489,34,1766
so2sat,pca8,RBF-SVM,2,10,0.1523174140392723,34,1766
so2sat,pca8,RandomForest,2,10,0.14712662590554915,34,1766
so2sat,pca8,SG-BSCM,2,11,0.14123272498783546,34,1766
so2sat,pca8,BSCM-uniform,2,11,0.14491575184208763,34,1766
so2sat,pca8,SRQFM-fid,2,11,0.13332226695057597,34,1766
so2sat,pca8,RBF-SVM,2,11,0.1365147970016181,34,1766
so2sat,pca8,RandomForest,2,11,0.157732490071657,34,1766
so2sat,pca8,SG-BSCM,2,12,0.10070012537991124,34,1766
so2sat,pca8,BSCM-uniform,2,12,0.08999764323165493,34,1766
so2sat,pca8,SRQFM-fid,2,12,0.09973432656779879,34,1766
so2sat,pca8,RBF-SVM,2,12,0.09743742497168188,34,1766
so2sat,pca8,RandomForest,2,12,0.1278462508493574,34,1766
so2sat,pca8,SG-BSCM,2,13,0.11817474654004279,34,1766
so2sat,pca8,BSCM-uniform,2,13,0.12079585858072267,34,1766
so2sat,pca8,SRQFM-fid,2,13,0.11743034188738069,34,1766
so2sat,pca8,RBF-SVM,2,13,0.11363794077202136,34,1766
so2sat,pca8,RandomForest,2,13,0.1305452736338159,34,1766
so2sat,pca8,SG-BSCM,2,14,0.12522112144403855,34,1766
so2sat,pca8,BSCM-uniform,2,14,0.12807534674683344,34,1766
so2sat,pca8,SRQFM-fid,2,14,0.13308789293468745,34,1766
so2sat,pca8,RBF-SVM,2,14,0.12246943831153591,34,1766
so2sat,pca8,RandomForest,2,14,0.15043332022566633,34,1766
so2sat,pca8,SG-BSCM,2,15,0.08701650134098747,34,1766
so2sat,pca8,BSCM-uniform,2,15,0.09044317639321094,34,1766
so2sat,pca8,SRQFM-fid,2,15,0.09543969358772163,34,1766
so2sat,pca8,RBF-SVM,2,15,0.07982164997314968,34,1766
so2sat,pca8,RandomForest,2,15,0.11347862715947762,34,1766
